42,-164,16246,22.54,-4,-4,-5
-52,-264,16332,22.54,-7,-1,-1
110,-312,16374,22.53,-4,0,0
166,-298,16378,22.53,-2,1,-2
282,-178,16232,22.55,-1,-1,-1
316,-248,16344,22.55,-6,0,-1
340,-340,16392,22.54,-4,-2,-2
134,-240,16388,22.55,-2,-2,-4
92,-216,16286,22.55,-4,-3,-3
74,-302,16376,22.54,-7,-1,0
86,-304,16410,22.56,-3,-1,-1
150,-220,16360,22.55,-2,-1,-3
150,-186,16286,22.55,-3,0,-2
260,-280,16338,22.57,-6,-1,0
248,-344,16360,22.54,-4,-3,-2
162,-266,16284,22.54,-3,-2,-5
120,-252,16254,22.55,-4,-2,-2
8,-284,16292,22.52,-5,-1,-1
122,-280,16406,22.55,-3,-1,-2
104,-238,16338,22.55,-2,-1,-2
280,-270,16266,22.56,-4,0,-1
294,-302,16328,22.52,-5,0,-1
230,-270,16316,22.55,-4,-3,-3
122,-242,16346,22.55,-4,-3,-2
64,-272,16380,22.56,-4,-1,-1
128,-242,16348,22.54,-4,-1,-2
42,-264,16316,22.52,-3,-1,-4
168,-270,16346,22.55,-4,0,-1
200,-288,16356,22.58,-3,1,0
294,-300,16358,22.56,-2,-1,-3
212,-234,16338,22.55,-2,-1,-3
204,-268,16304,22.56,-5,-1,-2
128,-316,16442,22.55,-3,-1,-2
80,-230,16368,22.55,-2,-1,-3
14,-242,16266,22.55,-4,-2,-2
100,-220,16364,22.53,-5,-1,-1
248,-358,16366,22.54,-3,0,-1
248,-272,16322,22.55,-3,-2,-2
218,-254,16276,22.57,-4,-2,-1
228,-306,16332,22.55,-5,-1,-2
138,-272,16372,22.55,-4,-3,-3
52,-218,16336,22.54,-3,-1,-4
34,-234,16364,22.52,-5,-2,-3
126,-278,16344,22.54,-5,1,-1
242,-292,16420,22.56,-3,-1,-2
230,-268,16308,22.54,-3,-1,-2
258,-220,16306,22.55,-3,-1,-1
190,-278,16266,22.55,-4,-1,-2
120,-228,16390,22.55,-5,-2,-3
134,-300,16366,22.56,-4,-2,-2
92,-248,16302,22.54,-3,-1,0
90,-298,16334,22.55,-5,-1,-1
140,-314,16304,22.55,-4,0,-2
250,-270,16298,22.54,-4,-1,-2
220,-250,16324,22.55,-5,0,-2
162,-266,16356,22.58,-4,-3,-3
160,-252,16304,22.55,-5,-3,-4
172,-316,16370,22.53,-5,-2,-3
134,-284,16376,22.54,-3,0,-1
154,-248,16336,22.52,-2,-1,-2
148,-272,16330,22.55,-5,-2,-2
180,-282,16382,22.54,-5,0,-1
218,-286,16362,22.55,-3,-1,-3
208,-288,16304,22.54,-4,-2,-3
202,-250,16350,22.55,-5,-1,-2
238,-316,16310,22.54,-4,-1,-1
188,-282,16274,22.54,-5,-2,-3
164,-276,16340,22.55,-4,-2,-2
60,-254,16318,22.54,-4,-1,0
200,-286,16368,22.54,-6,-2,-2
192,-320,16390,22.55,-4,-2,-2
192,-262,16326,22.55,-3,0,-2
174,-292,16328,22.57,-3,-2,-2
152,-258,16308,22.55,-4,-2,-2
162,-260,16390,22.54,-4,-2,-3
216,-274,16302,22.54,-2,-1,-2
186,-266,16308,22.54,-5,0,-2
150,-288,16306,22.55,-4,-2,-2
146,-242,16360,22.56,-4,0,-1
166,-294,16264,22.56,-2,0,-1
148,-270,16356,22.54,-3,-1,-2
188,-200,16284,22.54,-4,-1,-2
100,-302,16360,22.55,-4,-1,-1
178,-246,16382,22.55,-4,-1,-1
138,-226,16292,22.53,-3,-2,-3
150,-280,16300,22.56,-4,-1,-3
146,-278,16396,22.55,-3,-1,-1
194,-296,16324,22.54,-1,0,-3
192,-216,16320,22.56,-3,0,-2
218,-226,16390,22.56,-5,-2,-2
196,-306,16322,22.54,-3,-1,-3
136,-272,16356,22.55,-3,-2,-3
132,-230,16308,22.54,-3,-2,-2
136,-264,16316,22.55,-2,-1,-1
180,-210,16318,22.53,-4,-2,-3
170,-294,16356,22.56,-3,-2,-3
214,-304,16314,22.54,-4,-1,-1
252,-290,16384,22.57,-3,-1,-1
188,-266,16376,22.52,-4,-3,-2
156,-268,16312,22.54,-4,-2,-3
132,-280,16414,22.57,-5,-2,-2
134,-316,16364,22.54,-1,-1,-1
150,-226,16340,22.55,-2,-1,-1
154,-228,16292,22.54,-6,-1,-3
190,-322,16374,22.55,-4,-1,0
218,-230,16342,22.53,-2,-2,-2
194,-194,16302,22.55,-5,-2,-3
114,-292,16312,22.55,-5,-1,-1
140,-320,16414,22.54,-4,-2,-2
142,-300,16310,22.55,-3,-2,-3
122,-238,16304,22.52,-3,-1,-2
204,-236,16378,22.54,-3,-1,0
174,-286,16350,22.57,-6,-2,-2
206,-290,16376,22.54,-4,-3,-3
238,-296,16302,22.54,-2,0,0
180,-204,16246,22.54,-6,-2,-2
148,-268,16314,22.55,-6,-2,-3
172,-334,16346,22.54,-2,-2,0
150,-312,16362,22.54,-3,-1,-2
136,-212,16290,22.56,-3,-2,-1
140,-264,16316,22.54,-4,-1,-1
238,-344,16334,22.53,-4,-2,-2
178,-216,16370,22.58,-3,-2,-2
210,-234,16222,22.55,-4,-1,-3
188,-246,16222,22.53,-5,-3,-4
100,-320,16464,22.53,-5,0,-2
118,-308,16302,22.52,-4,-1,-1
104,-224,16376,22.54,-2,0,-4
168,-258,16246,22.54,-3,-1,-1
154,-246,16360,22.53,-6,0,-1
244,-370,16390,22.56,-3,-2,-2
226,-308,16270,22.55,-3,-2,-4
146,-204,16298,22.54,-4,-2,-1
160,-208,16328,22.54,-6,0,0
110,-370,16296,22.55,-4,-3,-3
110,-274,16354,22.53,-3,-2,-3
160,-190,16290,22.55,-3,0,-1
228,-330,16342,22.54,-3,1,-2
178,-350,16330,22.54,-2,-2,-2
156,-176,16290,22.52,-2,-1,-1
200,-230,16336,22.54,-6,-1,-1
192,-350,16384,22.57,-5,-2,-1
142,-282,16340,22.53,-1,-1,-2
176,-202,16380,22.55,-4,-2,-2
176,-276,16388,22.56,-6,0,0
166,-330,16388,22.53,-3,-1,-2
180,-230,16310,22.55,-3,-1,-5
200,-286,16376,22.54,-4,-2,-2
220,-264,16390,22.55,-5,-1,0
186,-262,16340,22.52,-4,-3,-2
116,-326,16438,22.54,-4,-2,-4
138,-262,16262,22.53,-2,0,1
144,-212,16122,22.53,-6,-1,-2
206,-396,16516,22.53,-6,-2,-4
